gameID,reasons
2084-41e72d09-9c7e-41da-b926-d925b54501e0,Only 2 practice trials
9012-e52b00f0-0338-4309-91b6-d5f319405d5d,Only 2 practice trials
8016-518182ec-dbe4-43bf-ade8-32eff7824c8e,Only 2 practice trials
0618-8ddfc1c9-2d14-43d0-9caa-0f71a6c1b541,Only 2 practice trials
1392-16c3daf1-21b1-4354-8c8a-438812dbf082,Only 2 practice trials
2096-7b258598-c574-41c5-91e0-04017b003087,Only 1 practice trials
9000-3e06d826-8f80-4ea6-b332-f1b585078198,Failed comprehension
7662-770cd839-3f7e-4e6f-9566-24ef054ab8b2,Failed comprehension
0896-2fa0b747-ef31-40f0-a021-baca001ce8af,test ratings: only 7 trials
1045-aa63ae58-d937-4a55-9758-7b4499b6d35d,test ratings: only 6 trials
3597-0e5653b6-361d-47de-a030-16129665a943,test ratings: only 7 trials
4091-dd377ff2-473f-452d-9abe-a2447b87041b,test ratings: only 7 trials
4638-717aec54-5d36-49f1-8eee-4ed826fd21d6,test ratings: only 7 trials
5364-1dfb70c2-0310-4462-9da8-7ae9789fb59c,test ratings: only 7 trials
6411-0f9e2a95-a9ec-4d8a-81c0-5adc39265e8d,test ratings: only 7 trials
6697-fdc26f6a-4286-43fa-b251-451cc41ed290,test ratings: only 7 trials
7096-1cf9f68d-8231-4466-ae2f-3b68f74a0aad,test ratings: only 7 trials
7498-a2890963-df67-46a3-a905-c4181d22fbb4,test ratings: only 7 trials
7663-5ff08936-5712-4856-bbd5-01b708cf1ac2,test ratings: only 7 trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,test ratings: only 7 trials
8714-778533d7-9af8-4c52-815c-88db1f66c633,test ratings: only 7 trials
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,test ratings: only 7 trials
9330-ba53cf07-9a15-4ae5-931d-90e4b6d78589,test ratings: only 7 trials
9622-c35366f0-841c-4f09-b0ce-eba1e8c86c33,test ratings: only 7 trials
0896-2fa0b747-ef31-40f0-a021-baca001ce8af,test attempts: only 7 trials with trace data
4091-dd377ff2-473f-452d-9abe-a2447b87041b,test attempts: only 7 trials with trace data
7498-a2890963-df67-46a3-a905-c4181d22fbb4,test attempts: only 7 trials with trace data
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,test attempts: only 7 trials with trace data
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,test attempts: only 7 trials with trace data
9622-c35366f0-841c-4f09-b0ce-eba1e8c86c33,test attempts: only 7 trials with trace data
4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,bad trace log
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,empty trace log
8941-a75295a1-0952-400a-98d3-689ad17d5fd6,bad trace log
9929-112c5ca1-1f34-42cb-b380-2ddd456ce48e,bad trace log
9875-77c31433-07e1-4aef-a4e5-043f15ecb034,empty trace log
8498-7e0986a7-3f38-4667-9b8d-ca68dbbbee16,bad trace log
9700-3f1fa752-1627-427b-862c-3c37ccdd3eab,bad trace log
7096-1cf9f68d-8231-4466-ae2f-3b68f74a0aad,bad trace log
4091-dd377ff2-473f-452d-9abe-a2447b87041b,empty trace log
7955-21954200-59ed-4583-8e48-182d58899121,bad trace log
1890-81ac7e3a-a990-4e12-b54c-67a3c95550bd,empty trace log
5846-6d2c90f7-fb2a-414b-99bf-b7a1f46acbbd,bad trace log
7311-a30685b7-505c-4139-9434-cff4b405d7c3,bad trace log
7570-7e21a10f-14c1-449e-b632-21b9a75d2f7b,bad trace log
1064-892ec835-62f9-4338-82b9-5d4180f39f88,bad trace log
7300-26294324-fb0d-4605-beff-26d77f614899,bad trace log
2212-2e008b61-4a7e-4d2a-9945-783bc07e09a0,bad trace log
2138-8ccc2c79-3fd9-4658-8958-c14e6c181a59,bad trace log
9757-aee868cc-3643-44a7-803d-dedb02151854,empty trace log
9258-6d96af6a-31a7-43d1-bd98-e370c382df7f,empty trace log
5497-69ae086c-e5f2-4e0f-92e3-56a0ce289ac9,bad trace log
3548-9f9bd540-a039-48f5-8e30-ab9bb98eef5a,bad trace log
9892-40821a05-0540-4e3c-a8f5-e62dcf08f6a1,bad trace log
2959-16ea6cec-9a81-4c72-99f6-9b4eabbfe01b,bad trace log
7204-92658df1-0813-4b78-a319-d949238063d6,bad trace log
7828-9600a188-1b85-4f18-938d-08563f8de99d,bad trace log
9622-c35366f0-841c-4f09-b0ce-eba1e8c86c33,empty trace log
5894-7e9b4902-e770-4177-aa68-f5ab400cbdc4,empty trace log
6109-a184f8cb-a5b5-4468-9faa-7fc8adc2ca8b,bad trace log
3140-e0ae9986-4196-46e0-a9df-468af61b1adb,bad trace log
5507-3fbfc775-3539-45c7-95e8-fae084fd3f99,bad trace log
7498-a2890963-df67-46a3-a905-c4181d22fbb4,empty trace log
5138-8a669d09-a2e6-4493-a989-8763ce3049f9,empty trace log
2637-7fb2d862-8c46-4a1b-aa8a-8e9dff7667ae,bad trace log
4100-890bafe2-ac0e-44bf-b0cc-dafc8ce28587,bad trace log
2826-bf8c7c1b-487c-4903-aa24-a672f679d1ab,bad trace log
7529-3ec64e01-6077-4d19-a204-210b64283fea,bad trace log
5265-547d8c5e-8fa3-453b-a8b1-203383fee34f,bad trace log
1314-ce9da3c3-fe6b-4646-82d4-383e4e34e644,bad trace log
2295-86d91154-0064-4d6b-b4a4-c6cb00d581b4,bad trace log
0344-4f03bfaf-e409-4afe-88af-af09b39d978b,bad trace log
2709-22802cd2-dc98-453f-b490-8d842488d319,bad trace log
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,empty trace log
2580-c83801e7-1289-442f-90a1-13f7b3edc29f,bad trace log
7051-ba25d988-3c1c-42d8-8be4-626dafdc6f40,bad trace log
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,bad trace log
6556-a49658f3-8b37-4f5f-9863-94f9a8c468f3,empty trace log
5184-437d1924-fc3a-4596-b4db-6ec6abcf9910,bad trace log
2261-c9bf9cb4-77ef-4f13-bfab-b225af6c592d,bad trace log
4060-4e2d6705-b31e-47d9-af97-101bf93d1739,bad trace log
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,comparison: only 7 posttest trials
8581-d29f6912-5f73-4d6b-8fa4-7860da2650ab,comparison: only 7 posttest trials
2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,comparison: only 7 pretest trials
7980-44188e71-07a9-4b10-9443-e403fb260878,comparison: only 7 pretest trials
8548-f432b403-c1b9-4c23-b610-38229bfe78ab,comparison: only 7 pretest trials
8833-29af3de5-1c4f-431a-bad5-b6a3e01b60ce,comparison: only 7 pretest trials
